Date,Total_Revenue,Revenue_by_Product,Revenue_by_Service,Revenue_by_Region,Total_Expenses,Operational_Expenses,Salaries,Marketing_Expenses,RD_Expenses,Miscellaneous_Expenses,Gross_Profit,Net_Profit,Profit_Margin_Percentage,Cash_Inflows,Cash_Outflows,Net_Cash_Flow,Cash_Flow_from_Operating_Activities
2024-04-10,325393,Product A,Service A,Europe,457434,51722,63862,37295,1990,1262,169262,169262,0,149376,853334,-703958,517008
2023-07-09,692018,Product B,Service B,Europe,182699,190972,68785,27734,7437,3098,393992,393992,0,378008,860278,-482270,403876
2023-08-21,660736,Product C,Service B,Europe,348623,179852,14058,38443,47236,3133,378014,378014,0,938797,298726,640071,824131
2023-07-23,359555,Product A,Service A,Africa,253673,51313,45152,22522,24479,2179,213910,213910,0,734617,880013,-145396,754119
2023-10-01,885937,Product A,Service B,Oceania,139070,7320,30453,27354,10922,3536,806352,806352,0,534731,31539,503192,830118
2024-01-23,988406,Product B,Service B,Africa,181910,79546,59514,34537,6505,2654,805650,805650,0,716150,632769,83381,699184
2024-03-02,323451,Product A,Service A,Africa,476158,139584,55811,39035,43475,3825,41721,41721,0,53890,747396,-693506,954293
2023-07-22,688260,Product C,Service B,Oceania,127492,110801,97685,9800,33861,4626,431487,431487,0,349474,738795,-389321,430312
2023-12-31,450187,Product C,Service A,North America,220305,144290,38728,32306,40849,555,193459,193459,0,540902,534303,6599,971914
2023-08-27,284809,Product B,Service A,North America,422308,42078,62865,48587,19330,4103,107846,107846,0,282717,213404,69313,784789
2024-02-25,367212,Product C,Service C,Oceania,13886,107992,42750,31336,34573,3939,146622,146622,0,240413,887682,-647269,213246
2023-10-17,856673,Product B,Service C,Europe,491131,24791,43988,28922,35903,1729,721340,721340,0,819752,714914,104838,570093
2023-07-20,972901,Product A,Service B,South America,222620,153812,90323,17559,16690,1032,693485,693485,0,684450,631952,52498,528594
2023-09-13,171266,Product B,Service B,Asia,469186,148854,85087,43877,32275,4390,-143217,-143217,-100,452098,390182,61916,602033
2023-08-13,500242,Product C,Service A,South America,239306,7493,86593,29500,47439,121,329096,329096,0,486924,416150,70774,299420
2024-01-15,89170,Product A,Service C,Oceania,223809,187119,85752,2497,46170,1774,-234142,-234142,-300,551537,852180,-300643,448021
2024-02-21,441215,Product C,Service B,South America,236029,148292,65989,17607,20092,3042,186193,186193,0,579562,190386,389176,14883
2023-07-02,642082,Product A,Service C,Asia,180218,183635,13027,48315,40168,4711,352226,352226,0,301379,666500,-365121,678352
2024-05-18,506263,Product B,Service A,North America,149103,110788,82511,19268,6728,3366,283602,283602,0,726397,200726,525671,884132
2024-04-05,416648,Product C,Service B,North America,174334,83566,4371,6948,13405,2954,305404,305404,0,811650,735605,76045,946498
2024-02-09,210546,Product A,Service C,South America,297545,15108,54138,17246,24857,1756,97441,97441,0,184244,550194,-365950,221014
2023-07-07,954225,Product A,Service A,Europe,180756,74910,95158,47691,16991,3541,715934,715934,0,501066,157189,343877,710693
2023-07-20,286824,Product C,Service C,Africa,384352,23534,14078,8251,36791,3088,201082,201082,0,451431,648366,-196935,991714
2024-02-15,854763,Product C,Service C,Asia,286721,77358,15926,44458,9746,4324,702951,702951,0,177436,64389,113047,518101
2024-04-24,337316,Product A,Service B,Oceania,349884,131375,67531,37216,46273,465,54456,54456,0,146075,761325,-615250,345824
2023-10-17,437536,Product C,Service C,Oceania,259579,48024,52686,13377,43838,194,279417,279417,0,928831,10220,918611,730862
2023-08-02,985306,Product A,Service A,South America,497407,145824,28079,1063,18617,4788,786935,786935,0,48300,888008,-839708,376320
2023-10-22,995779,Product A,Service C,Africa,296618,106419,67753,40096,48337,3289,729885,729885,0,496104,42579,453525,571383
2023-07-18,908090,Product C,Service C,North America,167523,178494,45891,45083,48292,442,589888,589888,0,925240,624138,301102,376196
2023-07-18,169735,Product A,Service B,Africa,211531,45570,73939,3264,22393,325,24244,24244,0,335147,163681,171466,817404
2023-12-18,714376,Product A,Service B,Asia,302229,54029,51964,5342,7209,3273,592559,592559,0,93474,783512,-690038,326026
2023-10-03,508435,Product C,Service A,Asia,286679,172701,26313,25598,44754,3919,235150,235150,0,903883,183788,720095,793744
2024-05-21,200902,Product B,Service C,South America,185867,164928,59538,13789,19175,3903,-60431,-60431,-100,179265,582647,-403382,69881
2023-12-02,390072,Product C,Service B,Asia,135852,125475,59719,18518,8200,3671,174489,174489,0,47853,87008,-39155,987433
2023-08-04,514860,Product C,Service A,Asia,424826,194066,12756,44102,8882,765,254289,254289,0,607703,216900,390803,489865
2023-08-03,446074,Product C,Service B,Europe,326288,177450,64990,44884,12834,939,144977,144977,0,425790,508924,-83134,548061
2023-08-03,469587,Product C,Service A,Europe,323384,164582,30288,18416,9735,1400,245166,245166,0,757183,10855,746328,667246
2023-06-13,199652,Product A,Service A,Africa,465598,81943,28607,38249,26026,2767,22060,22060,0,811278,478872,332406,414998
2023-12-15,927670,Product B,Service B,Europe,313518,99279,84168,47799,36663,3874,655887,655887,0,762600,611642,150958,322650
2023-12-25,465244,Product C,Service B,Oceania,22629,124173,14747,47050,6329,174,272771,272771,0,746522,412967,333555,622882
2024-05-23,685080,Product C,Service A,South America,232164,85316,19064,35495,34571,4126,506508,506508,0,471027,413715,57312,287874
2023-09-23,647225,Product A,Service B,South America,380579,10210,51051,10041,29215,3441,543267,543267,0,828412,605410,223002,542686
2023-09-25,998878,Product B,Service C,Europe,370834,25219,2897,2057,13701,1266,953738,953738,0,222784,394335,-171551,354380
2024-01-24,594767,Product A,Service A,North America,323967,168469,64741,47736,13658,2278,297885,297885,0,558000,347530,210470,990425
2023-09-24,464666,Product A,Service A,Europe,82887,92302,82185,42481,38325,4546,204827,204827,0,247050,83551,163499,120657
2023-11-17,261900,Product C,Service A,Oceania,379614,112342,7726,16924,26432,3549,94927,94927,0,826327,55496,770831,639075
2024-01-16,923604,Product B,Service B,Asia,274668,87163,15420,48344,42125,509,730043,730043,0,723615,877270,-153655,587320
2023-07-22,812513,Product A,Service B,Europe,299639,31592,95100,6344,24003,2713,652761,652761,0,616350,169812,446538,116157
2023-11-02,57114,Product C,Service C,North America,346015,55379,19805,26490,21829,1769,-68158,-68158,-200,607621,884715,-277094,234104
2023-09-16,661610,Product C,Service B,North America,429567,169310,97142,44383,6723,2225,341827,341827,0,691899,398904,292995,12608
2023-12-03,985018,Product A,Service C,North America,253499,118181,39322,26759,42243,4115,754398,754398,0,469686,99738,369948,518466
2023-06-27,734077,Product C,Service C,Oceania,283625,164729,32473,23312,17244,1788,494531,494531,0,941730,103010,838720,973855
2023-07-21,124761,Product A,Service A,North America,153692,176559,38630,16735,5303,1052,-113518,-113518,-100,347038,553558,-206520,538718
2023-07-20,600145,Product A,Service C,Oceania,324494,45704,89037,31711,46521,1805,385367,385367,0,871429,557363,314066,72288
2023-07-10,255185,Product C,Service A,South America,415164,80349,28837,36761,34302,4748,70188,70188,0,154723,577758,-423035,796105
2023-07-15,657718,Product C,Service C,Africa,93718,76495,96026,8008,47071,2339,427779,427779,0,811380,850980,-39600,443203
2024-02-07,97689,Product C,Service B,Asia,405460,5690,40683,9449,7312,813,33742,33742,0,613174,877879,-264705,249509
2024-04-22,175788,Product B,Service B,South America,448710,75179,87959,31797,31904,3759,-54810,-54810,-100,879065,576213,302852,634693
2024-02-17,984767,Product C,Service B,Africa,110420,10988,4905,25603,27851,3644,911776,911776,0,860814,334792,526022,154961
2023-11-07,173212,Product B,Service C,Oceania,85390,67433,81527,7805,39165,771,-23489,-23489,-100,500138,341726,158412,747784
2024-01-14,516793,Product A,Service A,Oceania,283766,128878,69623,2030,29100,3371,283791,283791,0,252046,108362,143684,400144
2023-12-19,899427,Product A,Service C,Asia,46952,141585,29443,49025,17770,3663,657941,657941,0,98556,606012,-507456,291156
2023-09-05,991005,Product A,Service B,Africa,35414,120113,39120,49023,32432,3400,746917,746917,0,543878,193435,350443,271151
2023-12-12,270482,Product C,Service B,Oceania,41663,62283,51910,31074,12316,4768,108131,108131,0,228054,582644,-354590,34023
2023-06-21,619402,Product A,Service C,Africa,98011,136455,20069,38842,5340,576,418120,418120,0,245959,63918,182041,781746
2023-05-30,958161,Product B,Service A,Africa,187740,63579,52665,39116,21761,2060,778980,778980,0,256080,531813,-275733,418697
2023-10-09,399727,Product C,Service A,South America,386602,51689,15871,32588,35924,4760,258895,258895,0,804739,227693,577046,817154
2024-04-16,885220,Product B,Service C,Oceania,102390,162640,30618,44889,44806,3239,599028,599028,0,264869,342891,-78022,344209
2024-05-13,865899,Product C,Service A,Oceania,12751,6466,44691,28834,26415,4886,754607,754607,0,960099,482137,477962,239437
2024-04-29,788877,Product A,Service A,South America,156312,159868,18745,23511,43804,2840,540109,540109,0,361879,490131,-128252,114029
2023-08-14,478279,Product C,Service B,South America,239984,68038,71038,46355,31873,4689,256286,256286,0,892367,827608,64759,897392
2023-08-11,332482,Product C,Service C,Oceania,207509,56408,63752,42395,21786,190,147951,147951,0,131717,718059,-586342,691328
2024-05-08,944707,Product C,Service B,North America,450680,117356,66758,7434,12153,4925,736081,736081,0,227976,656058,-428082,951115
2023-08-19,362189,Product A,Service B,Africa,244403,162151,64031,18249,1755,2242,113761,113761,0,573108,266683,306425,19424
2023-12-13,274704,Product B,Service B,Europe,338016,164444,69743,27441,41149,3580,-31653,-31653,-100,433888,693864,-259976,56436
2023-10-09,366937,Product B,Service A,North America,285431,78213,80383,45945,15909,3862,142625,142625,0,440922,844975,-404053,696652
2023-11-24,730275,Product B,Service B,South America,290945,108635,92978,15938,12798,4867,495059,495059,0,382703,225306,157397,444950
2024-05-09,663122,Product C,Service B,Europe,101090,17039,23591,38568,11279,3196,569449,569449,0,991865,82528,909337,823776
2023-10-31,421425,Product B,Service B,South America,130919,49904,94342,39917,45652,1250,190360,190360,0,227532,278563,-51031,200119
2023-09-21,333988,Product A,Service B,North America,101348,148209,91427,28904,40782,3984,20682,20682,0,171844,336584,-164740,865140
2024-02-11,254107,Product C,Service B,South America,101097,97775,80566,35600,35556,903,3707,3707,0,454104,148547,305557,118883
2023-10-07,329415,Product C,Service B,North America,432682,26058,98581,27426,2907,4646,169797,169797,0,646931,327982,318949,544499
2024-05-01,841335,Product B,Service A,Oceania,357611,88934,7778,14196,18020,743,711664,711664,0,35587,512984,-477397,200138
2023-10-31,895000,Product C,Service A,Oceania,16977,93181,65202,20618,42513,1289,672197,672197,0,941016,535989,405027,119724
2023-06-21,791267,Product B,Service A,Africa,192469,162149,65432,29703,36762,3201,494020,494020,0,258274,875524,-617250,302021
2023-07-04,662505,Product B,Service A,South America,393980,17578,62089,45194,3491,604,533549,533549,0,925454,859126,66328,40583
2023-08-12,932995,Product C,Service B,Africa,283479,198525,64218,33093,23781,3635,609743,609743,0,338157,156683,181474,255642
2024-04-08,378123,Product C,Service B,Europe,71800,168046,34820,43998,12299,3268,115692,115692,0,662671,242995,419676,856920
2023-12-19,484268,Product B,Service C,Europe,237554,77216,41280,39905,40742,819,284306,284306,0,839262,540919,298343,118561
2024-01-29,250654,Product C,Service B,Europe,282687,92801,39097,44696,16088,4398,53574,53574,0,21466,852519,-831053,656371
2023-09-29,145670,Product C,Service C,Oceania,207367,107373,56717,23404,33013,4567,-79404,-79404,-100,754193,108637,645556,983985
2023-12-05,302579,Product A,Service A,South America,387449,59678,23975,3521,9385,227,205793,205793,0,606491,543146,63345,418724
2024-02-23,968400,Product C,Service A,Africa,411960,67636,30208,1428,12581,2801,853746,853746,0,675654,384231,291423,654306
2023-10-21,63967,Product C,Service C,Africa,201416,79598,58926,17084,6172,4613,-102426,-102426,-200,650967,91181,559786,110927
2023-09-14,777459,Product C,Service B,Europe,100934,195602,19400,33968,28606,711,499172,499172,0,249308,630114,-380806,966674
2024-02-11,984113,Product B,Service C,South America,214447,5262,29184,7106,48627,328,893606,893606,0,741069,817893,-76824,532628
2023-09-01,92649,Product A,Service B,Africa,430786,77393,63752,5193,20650,2869,-77208,-77208,-100,224309,568824,-344515,807220
2023-07-05,549137,Product C,Service B,Oceania,169045,159407,53251,24449,23489,4622,283919,283919,0,630998,890420,-259422,573113
2024-01-10,127952,Product B,Service A,Oceania,375526,10774,83943,3310,43843,3250,-17168,-17168,-100,373324,266147,107177,615150
2023-09-03,189091,Product A,Service A,North America,168828,191900,12359,29616,15513,2945,-63242,-63242,-100,157864,565430,-407566,530386
2024-04-20,601001,Product A,Service C,Asia,435184,110714,60073,21835,29511,3867,375001,375001,0,813436,358425,455011,373518
2023-07-23,655645,Product B,Service B,North America,420465,143197,21729,35103,24538,2392,428686,428686,0,73713,684770,-611057,65340
2024-03-31,870323,Product C,Service B,South America,478275,113452,89390,26761,23775,3260,613685,613685,0,206116,796968,-590852,336836
2023-09-19,92367,Product C,Service A,Asia,203434,75520,24939,2100,35171,4317,-49680,-49680,-100,872824,625653,247171,409774
2024-05-17,976051,Product A,Service C,North America,369020,143020,83860,18509,10327,1181,719154,719154,0,125386,380055,-254669,86745
2024-03-12,562316,Product B,Service A,North America,380980,8253,39907,15161,26840,3508,468647,468647,0,289452,631240,-341788,172574
2023-11-13,722113,Product A,Service A,South America,464113,125669,22174,28128,36056,2714,507372,507372,0,495232,119693,375539,360429
2024-04-22,307603,Product B,Service B,Africa,274615,104622,71710,39402,42942,3795,45132,45132,0,203499,221546,-18047,524354
2024-01-26,998571,Product B,Service A,Oceania,213968,162756,87549,35667,24532,3077,684990,684990,0,768372,599565,168807,154884
2024-01-25,355295,Product B,Service A,Europe,365910,177367,69094,13847,46549,4441,43997,43997,0,884352,751493,132859,553401
2024-04-02,922646,Product B,Service C,Asia,387439,126375,6741,22872,12417,3211,751030,751030,0,30984,488165,-457181,376241
2023-08-09,767010,Product C,Service B,Europe,197545,73735,94051,3295,29739,3105,563085,563085,0,934972,11209,923763,683434
2023-12-28,753900,Product A,Service C,North America,117502,43444,73814,21621,17333,2802,594886,594886,0,102630,675004,-572374,399888
2023-12-22,896134,Product B,Service A,Asia,261254,194248,59872,24598,26731,2971,587714,587714,0,524944,329823,195121,601604
2023-06-08,436795,Product C,Service A,Oceania,79767,19214,63562,47771,23692,2216,280340,280340,0,278587,317431,-38844,106893
2023-11-25,333954,Product B,Service A,Africa,369729,91466,54666,23644,12796,1131,150251,150251,0,493081,857013,-363932,930497
2024-01-13,201610,Product C,Service C,Oceania,355290,94717,58418,29015,41134,842,-22516,-22516,-100,123269,276469,-153200,399171
2024-01-20,427792,Product B,Service A,Europe,269075,50625,30286,32220,26677,4761,283223,283223,0,217117,782632,-565515,945519
2024-04-18,133634,Product B,Service B,Europe,420680,117470,92525,46231,11969,4287,-138848,-138848,-200,491027,31434,459593,190248
2023-09-15,598358,Product C,Service A,Europe,90931,6847,4395,20647,14975,370,551124,551124,0,327985,852547,-524562,967996
2023-07-25,399312,Product A,Service B,Africa,419251,136009,20542,4074,29653,797,208237,208237,0,964255,286934,677321,303271
2023-07-25,225702,Product A,Service C,North America,170341,9209,75063,10653,27107,3287,100383,100383,0,686692,747101,-60409,973179
2023-05-24,508111,Product B,Service A,Africa,249216,107196,96973,37127,49760,1170,215885,215885,0,386310,328178,58132,677128
2023-12-20,59053,Product A,Service C,South America,101010,118885,81862,42309,43452,725,-228180,-228180,-400,284270,250343,33927,247484
2023-07-21,35873,Product A,Service A,Oceania,66979,43254,62358,47442,6759,2885,-126825,-126825,-400,931790,519265,412525,706679
2024-01-29,96934,Product B,Service C,Africa,337070,185034,64678,37780,4741,4776,-200075,-200075,-300,176943,321331,-144388,270452
2023-10-23,485830,Product C,Service A,Africa,55294,41877,25073,14814,31905,1836,370325,370325,0,220519,500298,-279779,972051
2024-05-10,479123,Product A,Service B,North America,10546,53949,4846,25623,45665,3545,345495,345495,0,402351,230699,171652,190243
2024-04-09,860733,Product A,Service A,North America,320343,34432,54282,37231,49154,2255,683379,683379,0,857999,415852,442147,211477
2023-11-20,549730,Product B,Service A,Africa,458485,194450,61732,49308,49282,664,194294,194294,0,671276,192972,478304,826364
2023-10-13,473509,Product C,Service A,North America,89227,136911,82298,45826,3943,1266,203265,203265,0,440124,308227,131897,707254
2023-07-13,902748,Product C,Service A,North America,390746,178300,42811,17410,33502,2852,627873,627873,0,509674,429801,79873,231640
2023-09-17,439052,Product A,Service C,South America,223156,121227,61260,37809,3904,4248,210604,210604,0,391551,719302,-327751,776324
2023-07-04,235391,Product C,Service B,Asia,429033,110323,70832,46512,42713,4747,-39736,-39736,-100,767386,356337,411049,493428
2023-06-25,490050,Product C,Service B,Africa,112485,22998,39396,47766,32258,4538,343094,343094,0,14909,179466,-164557,102535
2024-01-30,688570,Product A,Service C,Asia,260880,126427,44415,44975,44248,3638,424867,424867,0,724160,433802,290358,146255
2023-11-13,393169,Product A,Service A,Europe,238109,12886,95327,3247,1285,1152,279272,279272,0,193223,118730,74493,486937
2023-12-21,444968,Product A,Service C,North America,464031,114792,2059,39673,16853,1064,270527,270527,0,833518,218430,615088,448181
2024-02-07,181217,Product B,Service A,North America,255930,160116,24094,40077,28426,3775,-75271,-75271,-100,188507,534987,-346480,295657
2023-09-03,556929,Product B,Service C,Europe,357285,51271,22674,19062,37108,2360,424454,424454,0,666191,274892,391299,969879
2023-11-16,402274,Product C,Service B,Oceania,452089,26294,15175,39535,16037,2319,302914,302914,0,132082,872906,-740824,837075
2023-11-11,312584,Product A,Service C,North America,382351,155792,86260,12600,18006,3582,36344,36344,0,611344,250758,360586,693399
2023-11-05,818548,Product B,Service A,Europe,326816,194701,33735,34176,25709,3117,527110,527110,0,101836,10400,91436,131986
2023-08-15,93205,Product C,Service B,Africa,113758,53501,51761,27815,49762,2180,-91814,-91814,-100,963612,129307,834305,523939
2023-12-20,407459,Product C,Service A,Europe,37747,92300,17095,36057,9609,4283,248115,248115,0,209499,33496,176003,85926
2023-10-29,67115,Product C,Service A,Africa,22091,37966,99462,9463,31731,3667,-115174,-115174,-200,658591,528538,130053,20735
2023-12-22,816501,Product B,Service B,Asia,499398,140499,88941,43594,39430,411,503626,503626,0,742248,616276,125972,877026
2023-06-20,132803,Product A,Service B,Africa,342970,197017,65854,25181,10492,1751,-167492,-167492,-200,624226,621464,2762,572821
2024-01-07,368522,Product B,Service C,South America,428717,10308,51674,16342,38254,190,251754,251754,0,431853,559546,-127693,432631
2023-09-05,899463,Product C,Service C,Oceania,336254,134921,47284,7531,2486,1602,705639,705639,0,621983,752690,-130707,607764
2023-10-05,504698,Product B,Service A,Africa,301321,95942,41597,48174,39685,4024,275276,275276,0,555336,46852,508484,989640
2023-06-19,89030,Product A,Service B,Asia,344490,138452,27680,2368,25755,4744,-109969,-109969,-200,80616,36491,44125,477778
2023-05-28,883536,Product A,Service A,Asia,259223,69813,83657,28256,31177,1959,668674,668674,0,396554,607509,-210955,139758
2024-03-01,466821,Product B,Service A,Oceania,443866,180882,26627,39745,25450,881,193236,193236,0,516192,254900,261292,171187
2024-02-29,107622,Product A,Service C,South America,303991,123518,68292,21192,38797,1347,-145524,-145524,-200,602800,370194,232606,754273
2023-05-30,266791,Product B,Service A,Europe,219795,96470,21502,30034,27301,965,90519,90519,0,382256,142339,239917,946693
2023-09-14,221548,Product A,Service B,Oceania,211307,74525,95200,4888,32714,4791,9430,9430,0,12608,400935,-388327,614958
2024-01-29,637728,Product B,Service B,South America,109725,26333,61272,29094,10805,3776,506448,506448,0,64539,104453,-39914,711388
2023-09-05,614771,Product B,Service A,Africa,309665,79656,17521,35581,42269,1404,438340,438340,0,145797,309502,-163705,485673
2024-01-23,395205,Product C,Service B,Oceania,327507,96816,71515,43497,18127,3391,161859,161859,0,618431,449820,168611,873018
2023-06-19,337225,Product A,Service B,Europe,204890,174850,97843,30345,10897,4781,18509,18509,0,172531,181825,-9294,406961
2023-08-24,789823,Product B,Service C,Europe,118437,149271,72512,19489,34489,1804,512258,512258,0,537151,810416,-273265,885061
2024-03-15,56275,Product B,Service A,North America,389822,168100,56791,31232,39588,3946,-243382,-243382,-500,821401,675292,146109,853538
2024-05-10,939894,Product A,Service C,Europe,85244,55680,69787,46512,27687,4417,735811,735811,0,870369,83231,787138,657420
2023-08-22,548912,Product B,Service B,Europe,186267,135373,97663,6007,11992,1734,296143,296143,0,922040,890357,31683,172373
2023-10-30,595826,Product B,Service C,Oceania,491583,62266,55220,14278,14324,2343,447395,447395,0,793581,639869,153712,807973
2023-11-09,952394,Product A,Service C,Africa,209947,103374,78739,6343,1267,3417,759254,759254,0,973131,676051,297080,310186
2023-06-09,811655,Product A,Service B,Africa,354766,139603,26747,25525,49830,4485,565465,565465,0,757020,484054,272966,406040
2023-06-29,639685,Product C,Service B,Asia,331859,101173,41804,42370,21750,370,432218,432218,0,437176,282702,154474,237587
2024-04-20,119129,Product C,Service A,Africa,146043,15110,22668,16458,11276,4118,49499,49499,0,576206,528105,48101,540444
2023-10-19,407308,Product B,Service A,Oceania,29142,45569,85971,12767,36676,226,226099,226099,0,434921,457645,-22724,241458
2024-05-16,765599,Product B,Service A,Oceania,177914,154653,64626,13349,39547,2877,490547,490547,0,402629,349608,53021,468217
2024-02-20,320496,Product B,Service B,South America,113987,28339,29382,5778,27581,1003,228413,228413,0,639882,452890,186992,458074
2023-07-06,291354,Product B,Service A,South America,346218,35262,29884,29733,36610,4266,155599,155599,0,94675,144299,-49624,417828
2023-07-02,337068,Product B,Service C,Africa,179057,190140,77797,32650,24463,2803,9215,9215,0,578081,165097,412984,381221
2023-05-25,829768,Product B,Service A,Europe,409035,10061,22328,20683,21582,3725,751389,751389,0,495225,108640,386585,40308
2023-06-05,418107,Product C,Service B,Africa,351187,184976,9333,1200,14955,1508,206135,206135,0,397153,788551,-391398,512418
2023-10-15,872935,Product C,Service B,Oceania,399921,90467,35276,12223,15225,2042,717702,717702,0,583652,217266,366386,547579
2023-11-05,870513,Product C,Service B,North America,16031,79866,38150,42131,4327,3876,702163,702163,0,922464,581970,340494,2227
2024-01-31,324018,Product B,Service C,Europe,215863,128885,81632,34495,10924,2539,65543,65543,0,576596,440648,135948,454578
2024-01-31,571686,Product A,Service C,South America,33846,175255,46242,35613,16530,1066,296980,296980,0,683044,441059,241985,946189
2023-08-13,463128,Product B,Service B,South America,202119,36375,12627,3230,12835,3737,394324,394324,0,349922,271450,78472,521396
2023-12-12,560115,Product B,Service C,Europe,304817,30034,42636,28635,9348,828,448634,448634,0,91520,544647,-453127,200814
2024-02-26,488448,Product A,Service B,Europe,98715,144627,39213,11597,35331,140,257540,257540,0,832336,845366,-13030,122551
2023-11-24,687060,Product A,Service B,North America,496635,112634,66033,25486,22145,1680,459082,459082,0,253460,811263,-557803,423650
2023-09-23,20187,Product B,Service B,Europe,223527,97086,79289,26669,47792,287,-230936,-230936,-1200,301276,603500,-302224,358307
2023-10-08,60256,Product B,Service C,Africa,70356,57496,68355,49791,39676,200,-155262,-155262,-300,252726,245033,7693,122766
2024-04-22,147083,Product B,Service A,North America,66883,37382,18951,13036,5148,4802,67764,67764,0,247460,347633,-100173,748471
2023-10-18,71629,Product A,Service B,North America,311867,51381,8143,49031,24592,3210,-64728,-64728,-100,277192,349578,-72386,819439
2024-03-21,191234,Product A,Service A,North America,464838,176920,72330,4326,6620,1324,-70286,-70286,-100,232952,370456,-137504,766649
2023-12-14,879301,Product C,Service A,Oceania,258401,62325,57824,20809,6862,642,730839,730839,0,619972,441710,178262,730345
2024-05-08,796871,Product A,Service C,Africa,491202,164034,60036,24779,27799,4754,515469,515469,0,11483,222830,-211347,888296
2023-11-04,769986,Product B,Service B,Europe,74095,191603,22377,39092,18734,4977,493203,493203,0,73818,860123,-786305,29463
2023-10-13,524617,Product C,Service B,Asia,157815,65138,20540,33202,5937,4083,395717,395717,0,970007,349625,620382,801858
2023-06-13,128322,Product C,Service A,Europe,118798,64752,61398,25245,37568,3524,-64165,-64165,-100,929981,371120,558861,920697
2023-09-22,848933,Product A,Service B,Asia,205553,33379,93847,4113,46198,2349,669047,669047,0,861331,480911,380420,215980
2023-05-24,364182,Product A,Service B,Europe,425217,139278,93144,22884,17508,718,90650,90650,0,766771,10623,756148,406778
2023-11-24,658303,Product A,Service B,Europe,287328,172164,87125,1706,42308,2088,352912,352912,0,74759,372870,-298111,171943
2024-01-26,443257,Product B,Service B,South America,429705,19385,74699,17533,19035,899,311706,311706,0,677717,859329,-181612,132813
2024-04-24,67735,Product B,Service B,Oceania,208075,26413,30739,34025,15454,1598,-40494,-40494,-100,759666,549371,210295,33632
2023-10-05,451291,Product A,Service C,Africa,191032,168368,59704,18729,20826,4883,178781,178781,0,696029,147220,548809,759698
2024-03-01,461718,Product B,Service C,Oceania,469962,139264,43972,12705,44584,903,220290,220290,0,514810,487377,27433,790822
2023-07-08,323572,Product B,Service A,Europe,332069,130891,99887,6963,46840,2667,36324,36324,0,151406,490391,-338985,978078
2023-06-05,967121,Product A,Service A,North America,401145,186131,51319,35099,14803,297,679472,679472,0,879991,576712,303279,459941
2023-12-21,902995,Product C,Service B,South America,281740,130556,65864,19224,26281,3006,658064,658064,0,551462,854708,-303246,870815
2024-01-15,427850,Product B,Service B,Oceania,388611,39993,64418,5099,23348,888,294104,294104,0,356590,39106,317484,991625
2023-08-27,162780,Product C,Service C,Europe,81770,27961,41976,34335,26585,1043,30880,30880,0,736993,63352,673641,88931
2023-06-30,289049,Product A,Service C,South America,163705,104050,90500,33680,22459,2896,35464,35464,0,365671,655837,-290166,847425
2023-07-11,863201,Product C,Service A,Asia,263181,123073,49150,4344,13772,806,672056,672056,0,172874,609765,-436891,865739
2024-03-18,667029,Product B,Service A,Oceania,28182,118998,49403,14164,41648,613,442203,442203,0,319633,309666,9967,415950
2023-12-14,705419,Product C,Service C,Europe,226626,24119,78225,41445,21093,2417,538120,538120,0,403616,589573,-185957,39630
2023-12-04,860821,Product A,Service B,Africa,269123,110135,49870,38795,11103,4255,646663,646663,0,490416,261268,229148,30637
2023-10-03,257291,Product C,Service A,Asia,160205,128817,9983,28634,46655,2336,40866,40866,0,303011,557249,-254238,808438
2023-05-25,396538,Product A,Service C,Africa,481322,103153,48964,26363,23128,4577,190353,190353,0,268624,497793,-229169,578631
2024-02-04,304021,Product B,Service C,Africa,471961,83312,35660,44958,18391,882,120818,120818,0,393622,600413,-206791,633646
2023-11-18,211781,Product C,Service A,Africa,275038,176385,84752,23933,29274,949,-103512,-103512,-100,577407,633784,-56377,54005
2024-04-05,213164,Product B,Service B,Africa,439434,117816,56056,6471,42425,4783,-14387,-14387,-100,783072,69601,713471,684967
2024-04-08,498462,Product A,Service A,Europe,432971,198237,20321,21595,3256,1189,253864,253864,0,406896,302014,104882,318135
2023-11-02,404857,Product A,Service A,Africa,462392,151236,31653,31556,7135,1866,181411,181411,0,681304,155003,526301,133618
2023-10-15,905356,Product B,Service B,South America,170288,21071,83620,20946,33314,3368,743037,743037,0,123387,196257,-72870,523043
2023-05-27,231374,Product C,Service B,Europe,148958,69829,17919,18793,19889,348,104596,104596,0,223356,792029,-568673,143274
2024-03-07,549536,Product B,Service B,North America,475858,199286,66793,5028,11047,3380,264002,264002,0,124361,468929,-344568,876145
2023-09-09,484025,Product C,Service B,Europe,424848,50276,88465,1655,49617,3195,290817,290817,0,606132,381436,224696,938958
2023-12-16,572756,Product A,Service A,Europe,207839,24431,9580,49766,37681,4417,446881,446881,0,110414,722374,-611960,340239
2024-04-30,513960,Product B,Service C,Africa,305329,12113,66954,1577,32510,3836,396970,396970,0,842902,362598,480304,135597
2024-04-09,432983,Product B,Service B,Oceania,286099,41458,73386,48905,19918,414,248902,248902,0,434909,131247,303662,585684
2023-08-04,537224,Product B,Service C,South America,424631,104415,18506,35883,9714,334,368372,368372,0,890888,844271,46617,553124
2024-02-08,925778,Product C,Service B,Africa,372670,157556,15342,42771,4719,2200,703190,703190,0,601459,56201,545258,261202
